ad_archive_id,ad_creation_time,currency,max_impressions,max_spend,min_impressions,min_spend,ad_url,page_name,page_id
1802810196442148,2018-05-16,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=1802810196442148,AIPAC,40217893542
2483829571870230,2018-05-16,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=2483829571870230,AIPAC,40217893542
141606013373374,2018-05-16,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=141606013373374,AIPAC,40217893542
252013802217789,2018-05-16,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=252013802217789,AIPAC,40217893542
323950804807392,2018-05-16,USD,5999,199,5000,100,https://www.facebook.com/ads/library/?id=323950804807392,AIPAC,40217893542
464748043962514,2018-05-16,USD,2999,199,2000,100,https://www.facebook.com/ads/library/?id=464748043962514,AIPAC,40217893542
635263513485878,2018-05-16,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=635263513485878,AIPAC,40217893542
641110359566754,2018-05-16,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=641110359566754,AIPAC,40217893542
841028976091521,2018-05-16,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=841028976091521,AIPAC,40217893542
957672674393020,2018-05-16,USD,2999,99,2000,0,https://www.facebook.com/ads/library/?id=957672674393020,AIPAC,40217893542
1520483474724903,2018-05-16,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=1520483474724903,AIPAC,40217893542
1793966720659355,2018-05-16,USD,2999,99,2000,0,https://www.facebook.com/ads/library/?id=1793966720659355,AIPAC,40217893542
1822881181101615,2018-05-16,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=1822881181101615,AIPAC,40217893542
2164484983826025,2018-05-16,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=2164484983826025,AIPAC,40217893542
1781311625322862,2018-05-16,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=1781311625322862,AIPAC,40217893542
460932634376375,2018-05-16,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=460932634376375,AIPAC,40217893542
180082636024782,2018-05-24,USD,14999,199,10000,100,https://www.facebook.com/ads/library/?id=180082636024782,AIPAC,40217893542
192875938100031,2018-05-24,USD,9999,399,9000,300,https://www.facebook.com/ads/library/?id=192875938100031,AIPAC,40217893542
